name,Physical-flooding,Physical-wildfire,Physical-heat,Physical-subsidence,Physical-sea-level,Physical-water-scarcity,Physical-extreme-weather,Physical-infrastructure,Physical-general,Transition-mees,Transition-retrofit,Transition-standards,Transition-regulatory,Transition-disclosure,Transition-general,Legal-mees,Legal-tort-liability,Legal-access,Legal-contract,Legal-penalties,Legal-negligence,Legal-insurance,Legal-disclosure,Legal-breach,Legal-general,justification,has_any_label,number_of_labels ,labels 
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause provides a detailed guide and checklist for accessing Sustainability-Linked Loans (SLLs), which helps companies align their financial strategies with net zero transition goals. It includes setting and monitoring sustainability performance targets (SPTs), reporting on performance, and ensuring transparency through third-party verification. These elements help mitigate risks related to future retrofit obligations (Transition-retrofit), ensuring alignment with voluntary standards (Transition-standards), and reducing exposure to legal claims arising from failure to disclose climate-related information (Transition-disclosure).",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition risks by clarifying roles and responsibilities for measuring and reporting Scope 1, 2, and 3 emissions of leased assets. It ensures that both the Lessor and Lessee have clear obligations to measure, calculate, and report emissions, which can help in improving the climate impact of the assets. This can reduce the risk of missing, duplicating, or inaccurately reporting emissions, which is crucial for compliance with future regulatory requirements and for transparently disclosing climate-related information. By addressing these aspects, the clause supports the transition to a low-carbon economy and helps in managing the associated risks.",TRUE,2,"Transition-retrofit, Transition-disclosure"
Auditing Water Usage in Supply Chains,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause helps mitigate risks related to physical water scarcity by requiring suppliers to provide water usage audits and setting performance targets to reduce water usage. This can help manage the environmental impact of water treatment and supply, which is directly related to water scarcity. Additionally, the clause helps with transition-related risks by promoting the adoption of water reduction goals and measures, which is a form of retrofitting to align with future sustainability standards. Lastly, the clause also helps with disclosure by requiring suppliers to provide detailed water reports, which can help mitigate risks associated with failing to disclose known or foreseeable climate risks.",TRUE,3,"Physical-water-scarcity, Transition-retrofit, Transition-disclosure"
Avoiding Excessive Paperwork in Dispute Resolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"This clause focuses on reducing the environmental impact of dispute resolution processes, which can be seen as a broader legal exposure. It also includes provisions for calculating and offsetting the carbon footprint of disputes, which can help in disclosing and managing climate-related risks. This aligns with the 'Legal-general' category as it addresses general legal exposure, and the 'Legal-disclosure' category as it helps in managing the disclosure of climate risks.",TRUE,2,"Legal-disclosure, Legal-general"
Benchmarking of Project Greenhouse Gas Emissions,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate risks associated with future retrofit obligations and aligning to voluntary Net Zero or carbon standards. The benchmarking mechanism incentivizes contractors to reduce their greenhouse gas emissions, which is crucial for meeting future retrofit requirements and aligning with sustainability standards. It also ensures that contractors are aware of their carbon footprint and can be held accountable for meeting certain emission targets, thereby reducing exposure to future compliance and reputational risks.",TRUE,2,"Transition-retrofit, Transition-standards"
Board Minutes: Consideration of Climate Change Factors,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by encouraging directors to consider decarbonisation targets and climate risks as part of their decision-making process. It also includes specific drafting for purchasing carbon credits, which aligns with organizational carbon footprint reduction goals and voluntary standards, thereby reducing exposure to future retrofit obligations and disputes. Additionally, it addresses broader climate risks, making it relevant to general transition risks.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-general"
Board Paper Implementing Net Zero for SMEs,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause focuses on setting net-zero objectives and targets, measuring emissions, and implementing strategies to reduce emissions. This aligns with the 'Transition-retrofit' category as it involves clarifying roles, access, and upgrade responsibilities for achieving net-zero targets. It also aligns with the 'Transition-standards' category as it involves setting targets and aligning with voluntary Net Zero or carbon standards. Additionally, the clause emphasizes the importance of disclosure and reporting on climate-related risks and progress, which is relevant to the 'Transition-disclosure' category.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
CLLS Certificate of Title: Climate Change Disclosures,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"The clause provides voluntary disclosures to the standard form CLLS Certificate of Title, which can be used to update investors on environmental and climate disclosures that may affect the long-term value of the property. This helps in reducing exposure to legal claims resulting from the failure to disclose known or foreseeable climate risks (Legal-disclosure). The clause also addresses general physical risks related to climate change, such as increased frequency and severity of weather events (Physical-general). Additionally, it includes provisions related to transition risks, such as the UK Government's policy to reduce greenhouse gas emissions and the possibility of future legal changes to require investments and improvements to buildings (Transition-general).",TRUE,3,"Physical-general, Transition-general, Legal-disclosure"
Capital Markets ESG Due Diligence Questionnaire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"This clause helps mitigate exposure to disclosure-related risks, such as misrepresentation or omission of relevant climate transition information. It requires companies to disclose their climate impact, decarbonisation plans, and climate risk management strategies, which aligns with the Transition-disclosure category. Additionally, it addresses general legal exposure by ensuring that companies are transparent about their climate-related activities and risks, which can help reduce the risk of legal claims related to non-disclosure or misrepresentation. The clause also covers general climate risks, making it relevant to the Legal-general category.",TRUE,3,"Transition-disclosure, Legal-disclosure, Legal-general"
"Carbon Contract Clauses for Environmental Performance, and Associated Incentives and Remedies",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by setting climate and environmental performance metrics for suppliers, incentivizing them to meet emissions-reduction targets, and aligning with the objectives of the Paris Agreement. It also includes provisions for climate reporting, verification, and consequences for breach, which are essential for transparency and disclosure. Additionally, the clause promotes the adoption of sustainability standards and targets, which can help reduce exposure to future regulatory changes and reputational risks.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Carbon Footprint Reduction – Mutual Notification Right (Carbon Footprint Reduction Notice),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate transition-related risks by promoting mutual obligations to reduce carbon footprints and align with net zero targets, which is relevant to transition-retrofit and transition-standards. It also helps reduce exposure to legal claims related to disclosure of climate risks, as it requires parties to notify and potentially modify their performance to reduce carbon footprints, thereby addressing known or foreseeable climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Circular Economy Product Design Obligation,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"The clause focuses on embedding circular economy principles into product design and manufacturing, which helps reduce exposure to future retrofit obligations and disputes by clarifying roles and responsibilities. It also aligns with the Paris Agreement and net zero targets, reducing exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards. Additionally, the clause requires the manufacturer to provide reports on the carbon footprint and recycled content of the product, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks.",TRUE,3,"Transition-retrofit, Transition-standards, Legal-disclosure"
Climate-Linked Contractual Discretions,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause helps reduce exposure to future retrofit obligations or disputes by clarifying roles, access, and upgrade responsibilities (Transition-retrofit). It also helps reduce exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards). Additionally, it helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks (Transition-disclosure) by requiring parties to report on their achievement of climate objectives and aligning contractual discretions with climate targets.",TRUE,3,"Transition-retrofit, Transition-standards, Transition-disclosure"
Climate-Linked Product Surveillance,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"This clause focuses on the periodic assessment and response to the impacts of climate change on product safety, which is relevant to transition-related risks such as retrofitting and aligning with climate adaptation guidance. It also requires the sharing of data and best practices, which helps in disclosure and transparency. Additionally, the clause mandates the notification of potential safety issues and regulatory requirements, which helps in reducing exposure to legal claims related to failure to disclose known or foreseeable climate risks.",TRUE,3,"Transition-retrofit, Transition-disclosure, Legal-disclosure"
Climate-Related Disclosure in Loans,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"The clause focuses on the reporting and disclosure of climate-related risks and impacts, which directly addresses legal exposure to disclosure-related risks (Legal-disclosure). It also encourages the mitigation of both physical and transition risks, which aligns with the Physical-general category. While the clause is not specific to a particular physical risk, it covers a broad range of climate-related impacts, including physical risks to business operations and assets, making it relevant to Physical-general.",TRUE,3,"Physical-general, Transition-disclosure, Legal-disclosure"
Climate-Related Knowledge Sharing Between Insurer and Insured,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"This clause promotes the sharing of climate-related risk information between insurers and insureds, which helps mitigate legal exposure to disclosure-related risks, such as misrepresentation or omission of relevant climate transition information. It also encourages the implementation of sustainable practices and the assessment of climate risks, which aligns with transition-related risks, including regulatory uncertainty or decarbonisation pressure. The clause helps manage general legal and transition-related exposure by fostering communication and ensuring that both parties are aware of and prepared for climate risks.",TRUE,4,"Transition-disclosure, Transition-general, Legal-disclosure, Legal-general"
