name,emission_label,justification,topic,probability,topic_name
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),CO2 Emissions,"The clause explicitly mentions CO2 emissions reduction, with a target of 4.20% reduction achieved in 2021 compared to the baseline, directly addressing the emissions from fossil fuel combustion and industrial processes.",1,1.0,Carbon and Fuel Emissions
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),Water Consumption,"Water consumption is highlighted with a target reduction of 0.32%, which can mitigate the impacts of water scarcity and improve water resource management, indirectly affecting emissions related to water treatment and distribution.",5,0.7578019464196671,Water and Wastewater
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),Energy Efficiency,"The clause encourages improvements in energy efficiency, which can lead to reduced energy consumption and lower emissions from power generation, particularly from fossil fuel sources.",2,1.0,Energy and Heat Consumption
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),Renewable Energy,"By promoting the use of renewable energy, the clause supports a transition away from fossil fuels, thereby reducing emissions associated with traditional energy sources and contributing to overall climate goals.",2,1.0,Energy and Heat Consumption
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",Fossil Fuel Combustion,"The clause requires the Lessor to measure energy consumption data, which directly relates to emissions from fossil fuel combustion used for heating, cooling, and powering equipment in leased assets.",1,0.9751135125431447,Carbon and Fuel Emissions
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",Electricity Generation,"By mandating the calculation of location-based and market-based electricity emissions, the clause addresses emissions from electricity generation, which is a significant contributor to overall greenhouse gas emissions.",2,0.9247376434821204,Energy and Heat Consumption
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",Refrigerant Leakage,"The obligation to report on direct consumption data not related to energy use may include emissions from refrigerant leakage in HVAC systems, which can have a high global warming potential.",-1,0.0,Outliers / Misc
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",Transportation Emissions,"The clause indirectly addresses transportation emissions by ensuring that both parties are aware of the emissions associated with the operation of leased assets, which may include vehicles or equipment that contribute to transportation-related emissions.",3,1.0,Travel and Commuting
Auditing Water Usage in Supply Chains,Water Treatment Emissions,"The clause requires suppliers to conduct water audits, which can lead to reduced emissions associated with water treatment processes by identifying inefficiencies and promoting better practices.",5,0.9873939497271773,Water and Wastewater
Auditing Water Usage in Supply Chains,Energy Use Emissions,"By setting targets for water usage, the clause indirectly encourages suppliers to optimize their energy use in water supply and treatment, thereby reducing emissions from energy consumption.",2,0.9727365335000323,Energy and Heat Consumption
Auditing Water Usage in Supply Chains,Wastewater Emissions,"The focus on water usage and audits can help mitigate emissions related to wastewater treatment, as improved water management can lead to less wastewater generation and treatment needs.",5,0.8170879927771721,Water and Wastewater
Auditing Water Usage in Supply Chains,Drought Impact Emissions,"The clause addresses water use in areas prone to drought, which can help reduce emissions associated with the increased energy and resource demands during water scarcity events.",-1,0.0,Outliers / Misc
Avoiding Excessive Paperwork in Dispute Resolution,Paper Production Emissions,"The clause promotes the use of electronic communication and documentation, significantly reducing emissions associated with the production of paper, which includes deforestation, energy consumption, and chemical processing.",0,0.9839090523929692,Waste and Construction Emissions
Avoiding Excessive Paperwork in Dispute Resolution,Transportation Emissions,"By mandating electronic means for notices and communications, the clause reduces the need for physical transportation of documents, thereby lowering emissions from vehicles used in the delivery of paper-based materials.",3,1.0,Travel and Commuting
Avoiding Excessive Paperwork in Dispute Resolution,Waste Disposal Emissions,"The requirement to recycle hard copy bundles and use environmentally-friendly materials minimizes emissions related to waste disposal, as recycling processes generally have a lower carbon footprint compared to landfill disposal.",0,1.0,Waste and Construction Emissions
Avoiding Excessive Paperwork in Dispute Resolution,Land Use Change Emissions,"The commitment to plant native trees as a means of offsetting emissions contributes to carbon sequestration, which helps mitigate emissions associated with land use change and deforestation, promoting biodiversity and ecosystem health.",-1,0.0,Outliers / Misc
Benchmarking of Project Greenhouse Gas Emissions,Construction Emissions,"The clause incentivizes contractors to reduce emissions associated with construction activities, such as the use of heavy machinery and materials, which are significant sources of carbon dioxide and other greenhouse gases during the building process.",0,1.0,Waste and Construction Emissions
Benchmarking of Project Greenhouse Gas Emissions,Transportation Emissions,"Transportation emissions arise from the logistics of delivering materials and equipment to the construction site. By benchmarking and encouraging lower emissions, the clause promotes the use of more efficient transportation methods or local sourcing of materials, thereby reducing the carbon footprint.",3,1.0,Travel and Commuting
Benchmarking of Project Greenhouse Gas Emissions,Operational Emissions,"Operational emissions refer to the emissions produced during the operation of the completed project, including energy use in buildings. The benchmarking mechanism encourages contractors to adopt energy-efficient practices and technologies, which can lead to significant reductions in operational emissions over the lifecycle of the project.",-1,0.0,Outliers / Misc
Board Minutes: Consideration of Climate Change Factors,Residual Emissions,The clause addresses residual emissions by mandating the purchase of carbon credits to offset any direct or indirect emissions that the company could not eliminate. This ensures that the organization takes responsibility for its remaining carbon footprint.,1,1.0,Carbon and Fuel Emissions
Board Minutes: Consideration of Climate Change Factors,Carbon Credits,"By specifying the purchase of carbon credits from verified projects, the clause promotes investment in initiatives that actively reduce or remove greenhouse gases from the atmosphere, thereby contributing to overall climate mitigation efforts.",1,1.0,Carbon and Fuel Emissions
Board Minutes: Consideration of Climate Change Factors,Greenhouse Gas Removals,"The focus on long-lived storage methods for greenhouse gas removals ensures that the carbon captured is stored securely for extended periods, minimizing the risk of reversal and enhancing the effectiveness of climate strategies.",1,1.0,Carbon and Fuel Emissions
Board Paper Implementing Net Zero for SMEs,Electricity Emissions,"The clause emphasizes the transition to 100% renewable electricity, which directly targets emissions from electricity consumption, reducing reliance on fossil fuel-based power generation.",2,0.727695187537803,Energy and Heat Consumption
Board Paper Implementing Net Zero for SMEs,Fossil Fuel Emissions,"By establishing a plan to replace non-renewable fuel suppliers and aiming for 100% renewable fuel, the clause addresses emissions from fossil fuel combustion in operations and logistics.",1,0.9077193234380373,Carbon and Fuel Emissions
Board Paper Implementing Net Zero for SMEs,Transport Emissions,"The clause encourages the adoption of zero-emission vehicles and greener travel alternatives, which helps mitigate emissions from transportation activities associated with business operations and employee travel.",3,0.7767918187933025,Travel and Commuting
Board Paper Implementing Net Zero for SMEs,Waste Emissions,"The focus on minimizing waste and evaluating activities that emit greenhouse gases includes strategies to reduce emissions from waste management processes, which can contribute significantly to overall emissions.",0,0.7548798011316139,Waste and Construction Emissions
Board Paper Implementing Net Zero for SMEs,Supply Chain Emissions,"The clause highlights the importance of engaging suppliers in net-zero commitments, which directly impacts emissions generated throughout the supply chain, encouraging reductions in upstream and downstream activities.",0,1.0,Waste and Construction Emissions
CLLS Certificate of Title: Climate Change Disclosures,Energy Consumption,"The clause emphasizes the importance of energy performance certificates (EPCs) and mandates improvements to energy efficiency, which directly reduces energy consumption and associated emissions from heating, cooling, and electricity use in buildings.",2,1.0,Energy and Heat Consumption
CLLS Certificate of Title: Climate Change Disclosures,Building Materials,"Provisions regarding the use of reused, reclaimed, and sustainable materials in construction and alterations help to minimize emissions associated with the extraction, production, and transportation of new building materials.",0,1.0,Waste and Construction Emissions
CLLS Certificate of Title: Climate Change Disclosures,Operational Emissions,"The clause encourages operational practices that enhance energy savings and environmental performance, which can lead to reduced emissions from day-to-day building operations, including heating, cooling, and lighting.",-1,0.0,Outliers / Misc
CLLS Certificate of Title: Climate Change Disclosures,Waste Management,"By promoting recycling and sustainable waste management practices, the clause aims to reduce emissions from waste disposal and landfill operations, which can contribute significantly to greenhouse gas emissions.",0,1.0,Waste and Construction Emissions
CLLS Certificate of Title: Climate Change Disclosures,Flood Risk,"The identification of physical risks such as flooding indicates a focus on climate resilience, which can help mitigate the impacts of extreme weather events that may lead to property damage and associated emissions from repairs and reconstruction.",4,1.0,Physical Climate Risks
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),CO2 Emissions,"The clause explicitly mentions a reduction of CO2 emissions by 4.20%, which directly addresses the mitigation of carbon dioxide emissions associated with the borrower's operations.",1,1.0,Carbon and Fuel Emissions
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),Water Consumption,"Water consumption is highlighted with a reduction of 0.32%, indicating efforts to minimize water usage, which is crucial for sustainability and climate resilience.",5,0.7578019464196671,Water and Wastewater
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),Energy Efficiency,"Improvements in energy efficiency are implied through the encouragement of ambitious sustainability performance targets (SPTs), which can lead to reduced energy consumption and associated emissions.",2,1.0,Energy and Heat Consumption
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),Renewable Energy,"The clause supports the transition to renewable energy sources, as it encourages borrowers to set targets that may include increases in renewable energy usage, thereby reducing reliance on fossil fuels.",2,1.0,Energy and Heat Consumption
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",Fugitive Emissions,"The clause requires the Lessor to measure and report energy consumption and other direct consumption data, which helps identify and mitigate fugitive emissions from equipment and facilities that may leak greenhouse gases.",1,1.0,Carbon and Fuel Emissions
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",Combustion Emissions,"By calculating combustion emissions associated with the Lessee's usage of Lessor Operated Resources, the clause addresses emissions from burning fossil fuels for energy, which is a significant contributor to climate change.",1,1.0,Carbon and Fuel Emissions
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",Electricity-Related Emissions,"The clause's focus on measuring and reporting electricity consumption allows for the identification and reduction of emissions related to electricity generation, particularly from non-renewable sources, thus promoting cleaner energy use.",2,0.9291496156542082,Energy and Heat Consumption
Auditing Water Usage in Supply Chains,Water Treatment Emissions,"The clause requires suppliers to conduct water audits, which can lead to more efficient water treatment processes, thereby reducing emissions associated with energy use in water treatment facilities.",5,0.9873939497271773,Water and Wastewater
Auditing Water Usage in Supply Chains,Water Supply Emissions,"By monitoring and reducing water usage in the supply chain, the clause helps to minimize emissions related to the extraction and transportation of water, which often involves significant energy consumption.",5,1.0,Water and Wastewater
Auditing Water Usage in Supply Chains,Drought Impact Emissions,"The clause addresses water use in areas prone to drought, which can lead to increased emissions from alternative water sourcing methods, such as desalination or long-distance water transport, thus promoting sustainable water management practices.",-1,0.0,Outliers / Misc
Avoiding Excessive Paperwork in Dispute Resolution,Paper Production Emissions,"The clause reduces emissions associated with paper production by mandating the use of electronic communication and documents, thereby minimizing the need for paper and the associated carbon footprint from its production.",0,0.9839090523929692,Waste and Construction Emissions
Avoiding Excessive Paperwork in Dispute Resolution,Transportation Emissions,"By promoting electronic means for notices and communications, the clause reduces transportation emissions that would arise from the physical delivery of documents and the travel of parties to meetings and hearings.",3,1.0,Travel and Commuting
Avoiding Excessive Paperwork in Dispute Resolution,Waste Disposal Emissions,"The requirement to recycle hard copy bundles and use environmentally-friendly materials helps mitigate emissions from waste disposal, as recycling processes generally have a lower carbon footprint compared to landfill disposal.",0,1.0,Waste and Construction Emissions
Avoiding Excessive Paperwork in Dispute Resolution,Deforestation Emissions,The commitment to plant native trees as a means of offsetting the carbon footprint directly addresses deforestation emissions by promoting reforestation and enhancing carbon sequestration in the atmosphere.,-1,0.0,Outliers / Misc
Benchmarking of Project Greenhouse Gas Emissions,Methane Emissions,"The benchmarking mechanism encourages contractors to reduce methane emissions, which are often associated with construction activities, waste management, and energy production. By incentivizing lower emissions, the clause promotes practices that minimize methane release.",1,1.0,Carbon and Fuel Emissions
Benchmarking of Project Greenhouse Gas Emissions,Nitrous Oxide Emissions,"Nitrous oxide emissions can arise from the use of fertilizers and other chemical inputs in construction and landscaping activities. The clause's focus on benchmarking and incentivizing lower emissions can lead to reduced use of such inputs, thereby mitigating nitrous oxide emissions.",1,1.0,Carbon and Fuel Emissions
Benchmarking of Project Greenhouse Gas Emissions,Fugitive Emissions,"Fugitive emissions, which include unintentional releases of gases during construction and operational activities, can be addressed through the benchmarking process. By requiring contractors to monitor and report emissions, the clause encourages practices that minimize these emissions, leading to better overall climate performance.",1,1.0,Carbon and Fuel Emissions
Board Minutes: Consideration of Climate Change Factors,Residual Emissions,"The clause addresses residual emissions by mandating the purchase of carbon credits to offset any direct or indirect emissions that cannot be reduced or avoided, thereby promoting accountability in emissions management.",1,1.0,Carbon and Fuel Emissions
Board Minutes: Consideration of Climate Change Factors,Carbon Credits,"By specifying the purchase of carbon credits from verified projects, the clause ensures that the organization supports initiatives that actively remove or reduce greenhouse gases, contributing to overall emissions reduction.",1,1.0,Carbon and Fuel Emissions
