name,Physical-flooding,Physical-wildfire,Physical-heat,Physical-subsidence,Physical-sea-level,Physical-water-scarcity,Physical-extreme-weather,Physical-infrastructure,Physical-general,Transition-mees,Transition-retrofit,Transition-standards,Transition-regulatory,Transition-disclosure,Transition-general,Legal-mees,Legal-tort-liability,Legal-access,Legal-contract,Legal-penalties,Legal-negligence,Legal-insurance,Legal-disclosure,Legal-breach,Legal-general,justification,has_any_label
A Beginner’s Guide and Checklist for Accessing Sustainability-Linked Loans (SLLs),0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause focuses on Sustainability-Linked Loans (SLLs) and the performance targets (SPTs) that borrowers must meet to receive financial incentives. It helps mitigate exposure to future retrofit obligations or disputes by clarifying roles, access, and upgrade responsibilities (Transition-retrofit). It also addresses the need to align with net zero transition standards and other sustainability objectives, reducing exposure to reputational or commercial risks associated with not aligning to voluntary Net Zero or carbon standards (Transition-standards). Additionally, the clause emphasizes the importance of disclosing sustainability performance and providing regular updates, which helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks (Transition-disclosure).",True
"Allocating Scope 1, 2 and 3 Emissions for Leased Assets",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by clarifying roles and responsibilities for measuring and reporting Scope 1, 2, and 3 emissions associated with leased assets. It ensures that both the Lessor and Lessee are accountable for accurate emissions data, which is crucial for improving the climate impact of the relevant assets. This transparency and allocation of responsibilities can help reduce the risk of missing, duplicating, or inaccurately reporting emissions, thereby supporting the transition to a low-carbon economy. Additionally, the clause addresses the risk of legal claims related to the disclosure of climate-related information, as it ensures that both parties have a clear understanding of their obligations in reporting emissions.",True
Auditing Water Usage in Supply Chains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Avoiding Excessive Paperwork in Dispute Resolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"This clause helps manage general legal exposure by promoting environmentally-friendly practices and addressing the carbon footprint of dispute resolution processes. It also helps reduce exposure to legal claims resulting from failure to disclose known or foreseeable climate risks, as it requires the calculation and offsetting of the carbon footprint associated with disputes. This aligns with the 'Legal-disclosure' category, as it ensures transparency and accountability in handling disputes in a manner that considers climate impacts.",True
Benchmarking of Project Greenhouse Gas Emissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
Board Minutes: Consideration of Climate Change Factors,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by encouraging directors to consider decarbonisation targets and climate risks as part of their decision-making process. It also includes specific drafting for purchasing carbon credits, which aligns the organization with voluntary standards and the UNFCCC clean development mechanism. This ensures that the organization is taking steps to reduce its carbon footprint and aligning with climate standards, thereby reducing exposure to future regulatory and reputational risks. Additionally, the clause addresses the disclosure of climate risks, which helps in reducing the exposure to legal claims resulting from failure to disclose such risks.",True
Board Paper Implementing Net Zero for SMEs,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"The clause focuses on setting net-zero objectives and targets, which helps reduce exposure to future retrofit obligations and disputes by clarifying roles and responsibilities. It also aligns the company's strategy with net-zero standards, reducing exposure to reputational risks. Additionally, the emphasis on disclosure and transparency in reporting progress against net-zero targets helps mitigate risks related to disclosure-related claims. Since the clause covers a broad range of climate-related actions and strategies, it also helps manage general transition risks.",True
CLLS Certificate of Title: Climate Change Disclosures,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"This clause helps mitigate legal disclosure risks by requiring voluntary climate change disclosures to investors, which can help avoid legal claims related to failure to disclose known or foreseeable climate risks. It also addresses transition risks by including provisions for energy efficiency improvements and green lease obligations, which can help reduce future retrofit obligations and disputes. Additionally, the clause provides general protection against physical climate risks by addressing potential impacts from weather events and other climate-related issues, even though specific hazards are not singled out.",True
Capital Markets ESG Due Diligence Questionnaire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"The clause focuses on a detailed due diligence questionnaire that requires companies to disclose information about their climate impact, decarbonisation plans, and risk management strategies. This helps mitigate transition-disclosure risks by ensuring companies are transparent about their sustainability and climate-related activities. It also helps reduce legal-disclosure risks by addressing potential legal claims related to the failure to disclose known or foreseeable climate risks. Additionally, the comprehensive nature of the questionnaire helps manage general legal exposure, including regulatory uncertainty and compliance issues.",True
"Carbon Contract Clauses for Environmental Performance, and Associated Incentives and Remedies",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The clause sets climate and environmental performance metrics for suppliers, which helps mitigate exposure to future retrofit obligations (Transition-retrofit) by incentivizing suppliers to meet emissions-reduction targets. It also aligns with voluntary Net Zero or carbon standards (Transition-standards) through the inclusion of decarbonization targets and interim targets. Additionally, the clause requires suppliers to provide annual emissions reports and disclose their performance, which helps reduce exposure to disclosure-related risks (Transition-disclosure) such as misrepresentation or omission of relevant climate transition information.",True
Carbon Footprint Reduction – Mutual Notification Right (Carbon Footprint Reduction Notice),0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"This clause helps mitigate transition-related risks by promoting mutual obligations to reduce carbon footprints, which is crucial for achieving net zero targets. It encourages proactive climate action and disclosure of carbon footprint reduction measures, which can help manage reputational and commercial risks. Additionally, it provides a framework for addressing climate-related issues in agreements, making it relevant for general transition risks as well.",True
Circular Economy Product Design Obligation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invalid JSON response,True
